dataset,contrast,seed,gamma,n_cal_59_80,n_target_59_80,censoring_model_59_80,L_dir_59_80,U_dir_59_80,L_sep_59_80,U_sep_59_80,W_dir_59_80,W_sep_59_80,ID_width_ratio_59_80,dir_pointwise_lower_59_80,dir_pointwise_upper_59_80,sep_pointwise_lower_59_80,sep_pointwise_upper_59_80,dir_sim_lower_59_80,dir_sim_upper_59_80,sep_sim_lower_59_80,sep_sim_upper_59_80,BandWidth_dir_59_80,BandWidth_sep_59_80,band_ratio_59_80,action_dir_59_80,action_sep_59_80,direct_sim_critical_59_80,separate_sim_critical_59_80,bootstrap_requested_59_80,bootstrap_valid_59_80,n_cal_60_80,n_target_60_80,censoring_model_60_80,L_dir_60_80,U_dir_60_80,L_sep_60_80,U_sep_60_80,W_dir_60_80,W_sep_60_80,ID_width_ratio_60_80,dir_pointwise_lower_60_80,dir_pointwise_upper_60_80,sep_pointwise_lower_60_80,sep_pointwise_upper_60_80,dir_sim_lower_60_80,dir_sim_upper_60_80,sep_sim_lower_60_80,sep_sim_upper_60_80,BandWidth_dir_60_80,BandWidth_sep_60_80,band_ratio_60_80,action_dir_60_80,action_sep_60_80,direct_sim_critical_60_80,separate_sim_critical_60_80,bootstrap_requested_60_80,bootstrap_valid_60_80,direct_action_changed,separate_action_changed
NSCLC-Stanford,InductiveSparsePCA,62,0.0,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0079388465106925,-0.0079388465106925,-0.0079388465106925,-0.0079388465106925,0.0,0.0,inf,-0.0365456047628177,0.0206679117414326,-0.0365456047628177,0.0206679117414326,-0.0433714646596137,0.0274937716382286,-0.0450586191056132,0.029180926084228,0.0708652362978424,0.0742395451898413,1.0476158560710478,DEFER,DEFER,2.4276310806620884,2.543224812792497,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0078042498255176,-0.0078042498255176,-0.0078042498255176,-0.0078042498255176,0.0,0.0,inf,-0.0346954272682587,0.0190869276172235,-0.0346954272682587,0.0190869276172234,-0.0412325523840232,0.025624052732988,-0.0422724948907234,0.0266639952396882,0.0668566051170113,0.0689364901304117,1.0311096414447034,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,62,0.1,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0102160756264063,-0.0056330795861529,-0.0188605645951624,0.003011409382603,0.0045829960402533,0.0218719739777654,4.772418257764041,-0.0388866433032438,0.0229024830292913,-0.0483595301298903,0.0322823858495979,-0.045727728769793,0.0297113549319579,-0.0571380542283387,0.040993063246001,0.075439083701751,0.0981311174743398,1.3007994352410464,DEFER,DEFER,2.4276310806620884,2.543224812792497,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0100438664120241,-0.0055365962233687,-0.0187583929756741,0.0031779303402812,0.0045072701886553,0.0219363233159554,4.866875602702581,-0.0370371755021931,0.0212510183676022,-0.0466509669515765,0.0308149617731907,-0.0435991283652342,0.0277629678167078,-0.0545101958615052,0.038602187025682,0.071362096181942,0.0931123828871872,1.3047876655667672,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,62,0.2,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0124612305798427,-0.0033022620554511,-0.0297838578154108,0.0140203651801169,0.0091589685243915,0.0438042229955277,4.782658972882277,-0.0411868793924088,0.0251561618209117,-0.061588009143542,0.0454270647597472,-0.048041107771277,0.0319466276455129,-0.0710525277733908,0.0547733067080602,0.07998773541679,0.125825834481451,1.57306409321146,DEFER,DEFER,2.4276310806620884,2.543224812792497,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0122519697814629,-0.0032443334146666,-0.0297149211536915,0.0142186179575618,0.0090076363667962,0.0439335391112534,4.877365972853888,-0.0393442144745511,0.0234400688048509,-0.060169399152267,0.044233470473879,-0.0459302181407251,0.029926927787497,-0.068750490095325,0.0526906891166362,0.0758571459282221,0.1214411792119612,1.600919435156075,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,62,0.3,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0146707732189206,-0.0009497920704801,-0.0407384228079732,0.0251178575185724,0.0137209811484405,0.0658562803265456,4.799677196118783,-0.0434415639708897,0.0274270572899422,-0.0759736735756101,0.059874090591168,-0.0503065636699865,0.0341980586155587,-0.0864592445904456,0.070217111916437,0.0845046222855452,0.1566763565068826,1.8540566452976464,DEFER,DEFER,2.4276310806620884,2.543224812792497,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0144250818745022,-0.0009308016063332,-0.0407038294619292,0.0253479459810937,0.0134942802681689,0.0660517754430229,4.894797953680395,-0.0416113592412902,0.0256524913215793,-0.0749183758330273,0.0590409344847967,-0.0482202218304047,0.0321147710870826,-0.0845589329294124,0.0685345333738405,0.0803349929174874,0.1530934663032529,1.905688427214977,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,62,0.5,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0189691745867921,0.0038071276848103,-0.062855891124984,0.0476938442230022,0.0227763022716025,0.1105497353479862,4.853717430937844,-0.0477963775029724,0.032013607471618,-0.1071790060357104,0.0916305126225677,-0.0546748377111555,0.0387439569054709,-0.1203690120345324,0.1047055169611792,0.0934187946166264,0.2250745289957117,2.4093067130589323,DEFER,DEFER,2.4276310806620884,2.543224812792497,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0186527199020035,0.0037473130120075,-0.0628943821677104,0.0479889752777144,0.0224000329140111,0.1108833574454248,4.950142612338202,-0.046006022968903,0.0301412617356931,-0.1068697479264715,0.0915563248847309,-0.0526554887596252,0.036557512770933,-0.1192605895244729,0.1038322006736149,0.0892130015305583,0.2230927901980879,2.5006757576884278,DEFER,DEFER,2.436422474191996,2.512218703771928,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,52,0.0,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0148527019033815,0.0148527019033815,0.0148527019033815,0.0148527019033815,0.0,0.0,inf,-0.00394782899473,0.0336532328014931,-0.00394782899473,0.0336532328014931,-0.0074971199872649,0.037202523794028,-0.0104181871769772,0.0401235909837403,0.0446996437812929,0.0505417781607176,1.1306975600971036,DEFER,DEFER,2.3299792013294662,2.6345017980202257,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0146715691632599,0.0146715691632599,0.01467156916326,0.01467156916326,0.0,0.0,inf,-0.00406921114511,0.0334123494716299,-0.0040692111451099,0.03341234947163,-0.007857647709653,0.0372007860361729,-0.011522223178585,0.0408653615051051,0.0450584337458259,0.0523875846836901,1.1626588038813737,DEFER,DEFER,2.3561694307403216,2.7394211320863997,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,52,0.1,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0127065812060768,0.0170482721706647,-0.0088602039607376,0.0386150573374791,0.0043416909645878,0.0474752612982168,10.93473987104082,-0.0058966476465336,0.0360438917571426,-0.0262829961205314,0.0625739037477984,-0.0094086906285362,0.0396300129077255,-0.0322791941225802,0.0708195388709951,0.0490387035362618,0.1030987329935753,2.1023951605355675,DEFER,DEFER,2.3299792013294662,2.6345017980202257,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0125463746099253,0.0168461336718602,-0.0090609517753222,0.0384534600571079,0.0042997590619349,0.0475144118324301,11.050482398669097,-0.0059555758238004,0.0358195196017301,-0.026299498647888,0.0623446931471958,-0.0096957330843379,0.039654977241549,-0.0331550881786759,0.071845986304955,0.0493507103258869,0.105001074483631,2.1276507225581422,DEFER,DEFER,2.3561694307403216,2.7394211320863997,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,52,0.2,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0106137587132454,0.0192887660311796,-0.0325029611806153,0.0624054859250403,0.0086750073179342,0.0949084471056557,10.94044576878311,-0.0077928719648345,0.0384741160628004,-0.0530833243970225,0.0934025520667377,-0.0112677998178128,0.0420960558061456,-0.0601662265901875,0.1040704487140464,0.0533638556239584,0.164236675304234,3.0776763294910348,DEFER,DEFER,2.3299792013294662,2.6345017980202257,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0104743512214061,0.0190655913619124,-0.032723167399285,0.0622631099826036,0.0085912401405062,0.0949862773818887,11.056177667999831,-0.0077857594396906,0.0382619696446627,-0.0529210621907502,0.0931050587759882,-0.0114770289473004,0.0421425050437512,-0.0609535533920062,0.105370578765583,0.0536195339910517,0.1663241321575892,3.1019316987228223,DEFER,DEFER,2.3561694307403216,2.7394211320863997,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,52,0.3,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0085774250375598,0.0215689770187109,-0.0560546581150462,0.0862010601713169,0.012991551981151,0.1422557182863631,10.9498633029184,-0.0096359448147565,0.0409353958882296,-0.0826549601965061,0.1249868512885916,-0.0130743875859139,0.0445915190277173,-0.0918096741328189,0.1383353020462134,0.0576659066136312,0.2301449761790323,3.991005946044206,DEFER,DEFER,2.3299792013294662,2.6345017980202257,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0084586442814492,0.0213247863536,-0.0562939279076727,0.086077358542722,0.0128661420721507,0.1423712864503947,11.065577051147496,-0.0095595941740332,0.0407310535421253,-0.0823248901029281,0.1245825107865585,-0.0132019693724083,0.0446540178471636,-0.0926771311138066,0.1398956065222752,0.057855987219572,0.2325727376360819,4.0198560047628975,DEFER,DEFER,2.3561694307403216,2.7394211320863997,999,999,False,False
NSCLC-Stanford,InductiveSparsePCA,52,0.5,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0046839074862609,0.0262244298743501,-0.102795125699586,0.1337034630601972,0.0215405223880892,0.2364985887597832,10.979241101903582,-0.0131618327908093,0.0459134853427887,-0.1442723119508111,0.1884790692065883,-0.0165308719718722,0.0496305179949181,-0.1585470286006565,0.2073305470365284,0.0661613899667904,0.3658775756371849,5.53007691979924,DEFER,DEFER,2.3299792013294662,2.6345017980202257,999,999,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0046056935551689,0.0259384742309267,-0.1030703791748285,0.1336145469609243,0.0213327806757578,0.2366849261357528,11.094893334965793,-0.0129391453163744,0.0457112452769958,-0.1436306723987681,0.1877920605210212,-0.0164858230963965,0.0497082980987403,-0.1597610761762612,0.2093378901963641,0.0661941211951368,0.3690989663726254,5.576008257357787,DEFER,DEFER,2.3561694307403216,2.7394211320863997,999,999,False,False
