dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid,tau_days,G_tau_min,unstable_cell
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,62,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.00018725415517484724,0.00018725415517484724,0.00018725415517485688,0.00018725415517485688,0.0,0.0,inf,-0.005591576104415127,0.005966084414764821,-0.0055915761044151215,0.005966084414764835,-0.006588058271495797,0.006962566581845492,-0.007474469467439251,0.007848977777788965,0.013550624853341289,0.015323447245228217,1.1308295677191438,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,62,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0007342291743840647,0.0011664405307352,-0.013941429018845902,0.01437364037519702,0.0019006697051192649,0.02831506939404292,14.897417114493432,-0.006153498890414151,0.007332596455341357,-0.018782125323324395,0.027303940625149375,-0.007087979639638903,0.00839586776498263,-0.020359350217409568,0.03151696911515246,0.015483847404621533,0.05187631933256203,3.3503507220743,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,62,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0015993155397012939,0.002204325019631081,-0.028065741196249258,0.028670750676179038,0.003803640559332375,0.056736491872428296,14.91636525255342,-0.006689340709472638,0.00878277651921284,-0.03974979812369523,0.04929404633623651,-0.007567047630047389,0.009917142699195332,-0.04355676809056272,0.056013653034766145,0.01748419032924272,0.09957042112532886,5.694883163036437,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,62,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0024095803691711595,0.0033015509289553405,-0.04223847599798554,0.043130446557769694,0.0057111312981265,0.08536892255575523,14.947812981249434,-0.007202906052661681,0.010314279713048175,-0.06151447124790691,0.07155433533429006,-0.008029451105906932,0.01152353121586315,-0.0677950923929095,0.08081557837561856,0.019552982321770083,0.14861067076852807,7.600409406756663,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,62,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0038730437842055803,0.005674609933871577,-0.07093259731657958,0.0727341634662456,0.009547653718077156,0.1436667607828252,15.047336761995478,-0.008177250385733597,0.013609095810166009,-0.10559149396005955,0.11683050668374366,-0.008919453379970337,0.014977292023847816,-0.11688426490647216,0.13119824344847641,0.023896745403818153,0.24808250835494858,10.381434967931268,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,72,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.006278155962718078,-0.006278155962718078,-0.006278155962718079,-0.006278155962718079,0.0,0.0,inf,-0.016559883963749043,0.00400357203831289,-0.016559883963749047,0.004003572038312888,-0.017902069804225353,0.005345757878789199,-0.019315847964583736,0.006759536039147579,0.023247827683014553,0.026075384003731314,1.1216266895673286,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.16909158252510526,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,72,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.006968853863313507,-0.005546869294045169,-0.02031808063129134,0.007802357473932667,0.0014219845692683385,0.028120438105224008,19.77548752142435,-0.017260502471278378,0.004742132596008243,-0.0315607999989435,0.02341361168771835,-0.018603983356532596,0.00608526797637222,-0.03457435276416248,0.027598127618966295,0.024689251332904817,0.062172480383128774,2.518200310929147,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.16909158252510526,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,72,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.007620964091919093,-0.004773074647026228,-0.0343768257285125,0.02198278698956717,0.002847889444892865,0.05635961271807967,19.789958075496806,-0.017937703515786628,0.005542322077896615,-0.051834129519536545,0.04524486120329074,-0.019284459778275802,0.006888903063281451,-0.05651346948990661,0.051480139855997635,0.026173362841557253,0.10799360934590424,4.126088420492736,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.16909158252510526,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,72,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.008236530034247009,-0.003954978024663584,-0.04851298650344517,0.03632147844453455,0.004281552009583424,0.08483446494797972,19.813951753498312,-0.018591485468699084,0.006407674677928945,-0.07380102070226612,0.0679180617306609,-0.019943230482911793,0.007760424500312752,-0.08057934744820208,0.07638736242381361,0.027703654983224545,0.1569667098720157,5.665920614700988,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.16909158252510526,False
NSCLC-Stanford-tau365,InductiveSparsePCA_SRDO,72,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.009366204793976858,-0.0021796113724070892,-0.0772424952821006,0.06569667911571668,0.0071865934215697685,0.14293917439781728,19.889698221802988,-0.019829050648112995,0.008345590889073504,-0.11932102305957495,0.11459507899506763,-0.02119487977285736,0.009719560074223314,-0.13059995474802397,0.12770204211959277,0.030914439847080675,0.25830199686761673,8.355383378942538,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.16909158252510526,False
NSCLC-VA-tau365,InductiveSparsePCA,42,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.027683863082443565,0.027683863082443565,0.02768386308244361,0.02768386308244361,0.0,0.0,inf,-0.007791823464641075,0.0631595496295282,-0.007791823464641037,0.06315954962952826,-0.014528020027436351,0.06989574619232349,-0.018865843918514154,0.07423357008340137,0.08442376621975983,0.09309941400191551,1.1027630982438343,DEFER,DEFER,2.332125990153057,2.571782482396155,999,999,365.0,0.33798946243182953,False
NSCLC-VA-tau365,InductiveSparsePCA,42,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.02464085425891896,0.030858684684465475,0.006646241657299712,0.0488532972860847,0.006217830425546515,0.04220705562878499,6.788067981940052,-0.010242951006255975,0.06696247474082005,-0.026053613246697943,0.08925818349548066,-0.01686675992994266,0.07381793689399674,-0.036261135561028224,0.10187089320936885,0.0906846968239394,0.13813202877039707,1.5232121141516821,DEFER,DEFER,2.332125990153057,2.571782482396155,999,999,365.0,0.33798946243182953,False
NSCLC-VA-tau365,InductiveSparsePCA,42,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.02172409385022555,0.034169969225824263,-0.014302689109537498,0.07019675218558732,0.012445875375598714,0.08449944129512482,6.789352998085917,-0.012605060586551045,0.07093584742744219,-0.046900754870388486,0.11699639927951183,-0.019123551266463944,0.07791702824380728,-0.05707650288623712,0.1316052849585616,0.09704057951027123,0.18868178784479872,1.9443596565169703,DEFER,DEFER,2.332125990153057,2.571782482396155,999,999,365.0,0.33798946243182953,False
