dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
NSCLC-VA,InductiveSparsePCA_SRDO,42,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.01581625809393167,0.028946579862991883,-0.022200663046776176,0.06696350100369974,0.013130321769060212,0.08916416405047592,6.790706703058789,-0.018340635406903217,0.06285154308812717,-0.06058754804358741,0.11076583867542183,-0.02227636009260781,0.06675823913265504,-0.07146461570719102,0.12317739514109786,0.08903459922526284,0.1946420108482889,2.186139012720583,DEFER,DEFER,2.1858006414028237,2.5153271217114925,999,999
NSCLC-VA,InductiveSparsePCA_SRDO,42,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.011839801338868344,0.033772479528780916,-0.05182245446966688,0.09743473533731609,0.021932678189912572,0.14925718980698297,6.805242319911043,-0.022610674125690965,0.06779281797073373,-0.09948443496568427,0.15223830928379334,-0.02658022676421801,0.07171280811324321,-0.11298963568409634,0.16776710725926477,0.09829303487746122,0.2807567429433611,2.856323881884119,DEFER,DEFER,2.1858006414028237,2.5153271217114925,999,999
NSCLC-Stanford,InductiveSparsePCA_SRDO,62,0.0,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0005177135231747769,-0.0005177135231747769,-0.0005177135231747843,-0.0005177135231747843,0.0,0.0,inf,-0.009145883976397404,0.00811045693004785,-0.009145883976397417,0.008110456930047848,-0.010990428117845,0.009955001071495445,-0.011822180321413625,0.010786753275064056,0.020945429189340444,0.02260893359647768,1.079420879472063,DEFER,DEFER,2.3789682340193106,2.567907983401223,999,999
NSCLC-Stanford,InductiveSparsePCA_SRDO,62,0.1,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0016499284410519794,0.0006534611813006144,-0.011800176246248018,0.010803708986496699,0.002303389622352594,0.022603885232744717,9.813313828191157,-0.010051449783614545,0.009529443880132684,-0.020290434850833525,0.024082648442354793,-0.011847540514052374,0.011426965721580069,-0.02292395353186604,0.028201525940669738,0.023274506235632444,0.051125479472535776,2.1966300360978,DEFER,DEFER,2.3789682340193106,2.567907983401223,999,999
NSCLC-Stanford,InductiveSparsePCA_SRDO,62,0.2,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.002742729222921468,0.0018630240335600625,-0.023078650826815775,0.02219894563745438,0.00460575325648153,0.04527759646427015,9.830660468090086,-0.010939288009017504,0.011007125620610712,-0.036067312650506354,0.041645641293792744,-0.012691561514842523,0.012961966348739374,-0.04009615148184993,0.04767764086888946,0.025653527863581896,0.0877737923507394,3.4215096191640875,DEFER,DEFER,2.3789682340193106,2.567907983401223,999,999
NSCLC-Stanford,InductiveSparsePCA_SRDO,62,0.3,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0037957684277481712,0.0031102721702516854,-0.03438770522525664,0.03370220896776013,0.006906040597999857,0.06808991419301677,9.859472041438206,-0.011809245629335833,0.012541614195125174,-0.05345745196124976,0.05978418818421158,-0.013522379659887073,0.014557861645530062,-0.05937252906439869,0.06787432803787037,0.028080241305417135,0.12724685710226907,4.531544288322091,DEFER,DEFER,2.3789682340193106,2.567907983401223,999,999
NSCLC-Stanford,InductiveSparsePCA_SRDO,62,0.5,114,59,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.005781669322949694,0.005714250716118991,-0.057230718147813234,0.05716329954098248,0.011495920039068686,0.11439401768879572,9.950836235814934,-0.01349384573429002,0.015771134814943605,-0.08955897146756167,0.09697822627240531,-0.015142567197834467,0.017921111654909238,-0.09958658817604771,0.10932806839317566,0.03306367885274371,0.20891465656922337,6.318554492973098,DEFER,DEFER,2.3789682340193106,2.567907983401223,999,999
NSCLC-VA,InductiveSparsePCA_SRDO,62,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.002715281399501246,-0.002715281399501246,-0.0027152813995012792,-0.0027152813995012792,0.0,0.0,inf,-0.01442768914072822,0.008997126341725727,-0.014427689140728256,0.008997126341725697,-0.017056148572582416,0.011625585773579925,-0.018261973601496694,0.012831410802494133,0.028681734346162342,0.03109338440399083,1.084083132098013,DEFER,DEFER,2.3998125566765256,2.6015963128900275,999,999
NSCLC-VA,InductiveSparsePCA_SRDO,62,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.004233463359050976,-0.001151149182678299,-0.015261332350996165,0.00987671980926691,0.003082314176372677,0.025138052160263075,8.155577505030973,-0.015730182066526974,0.010802984733820142,-0.025658902180884548,0.025815783530990507,-0.018310237285717477,0.013485691546687373,-0.029062748879985147,0.031033746028341233,0.031795928832404854,0.06009649490832638,1.890068858346386,DEFER,DEFER,2.3998125566765256,2.6015963128900275,999,999
NSCLC-VA,InductiveSparsePCA_SRDO,62,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.00570456451840126,0.0004576768943424075,-0.027790585417846597,0.02254369779378776,0.006162241412743667,0.050334283211634356,8.168177752261023,-0.01701186847925616,0.01267882272533684,-0.040677193610773064,0.043967474860889165,-0.01954941587355801,0.015421451460372477,-0.04489587542563388,0.05098096494032084,0.03497086733393049,0.09587684036595472,2.7416203164320776,DEFER,DEFER,2.3998125566765256,2.6015963128900275,999,999
