dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid,tau_days,G_tau_min,unstable_cell
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.000116801653502,0.0030856352363008,-0.036855663763138,0.0398244973459369,0.0032024368898028,0.076680161109075,23.944316077933728,-0.0037515721960247,0.0078712969442127,-0.0535740064496856,0.0625676321914085,-0.0046417627977287,0.0090433519681761,-0.0600438685413577,0.0713690396479563,0.0136851147659049,0.131412908189314,9.60261645132244,DEFER,DEFER,2.439978196800348,2.7184540407835867,999,999,365.0,0.3418242205458399,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,42,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0008371285059149,0.0039729773561787,-0.056054668952053,0.0591905178023169,0.0048101058620937,0.11524518675437,23.95897097869821,-0.0042567909648766,0.0090975900811734,-0.0823431349412964,0.0915652561986201,-0.0050942995080857,0.0103526575006417,-0.0925165565980299,0.1040940155741881,0.0154469570087275,0.196610572172218,12.728110271889346,DEFER,DEFER,2.439978196800348,2.7184540407835867,999,999,365.0,0.3418242205458399,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,42,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0021929038298629,0.0058566516887922,-0.0947840841115038,0.0984478319704331,0.0080495555186552,0.193231916081937,24.005290184546425,-0.0052988954733774,0.0116930438920957,-0.1399584343272203,0.1498027633370399,-0.0060595829879486,0.0131224330176149,-0.1574405389506502,0.1696767023930075,0.0191820160055635,0.3271172413436577,17.053329600433045,DEFER,DEFER,2.439978196800348,2.7184540407835867,999,999,365.0,0.3418242205458399,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,52,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0022697765919475,0.0022697765919475,0.0022697765919474,0.0022697765919474,0.0,0.0,inf,-0.0014712864089805,0.0060108395928756,-0.0014712864089805,0.0060108395928755,-0.0023239744736816,0.0068635276575766,-0.0030029366509905,0.0075424898348855,0.0091875021312582,0.010545426485876,1.147801256012532,DEFER,DEFER,2.406692065956116,2.762404176139824,999,999,365.0,0.1077420547100721,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,52,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0016171095518253,0.0029560395019427,-0.0191129048575479,0.0236860539113159,0.0013389299501174,0.0427989587688638,31.965046987790117,-0.0019262889828621,0.0069063510638759,-0.0268154472581254,0.0361293883468979,-0.002733924042271,0.0078067324581148,-0.0299689896948632,0.0412238858720509,0.0105406565003859,0.0711928755669141,6.754121582873677,DEFER,DEFER,2.406692065956116,2.762404176139824,999,999,365.0,0.1077420547100721,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,52,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0009984029504732,0.0036752009923053,-0.0404950124007801,0.0451686163435587,0.002676798041832,0.0856636287443389,32.00227563141358,-0.0023608447566232,0.007844314480006,-0.057499986460155,0.0670786108775957,-0.003126506929515,0.0087945666704836,-0.064462091248808,0.0760489084700631,0.0119210735999987,0.1405109997188712,11.786773946172644,DEFER,DEFER,2.406692065956116,2.762404176139824,999,999,365.0,0.1077420547100721,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,52,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.000413711746986,0.0044262128932165,-0.0619082911511778,0.0667482157913804,0.0040125011462304,0.1286565069425583,32.0639178043413,-0.0027766777139143,0.008821588271875,-0.0883355202745688,0.0981224304833881,-0.0035038525875753,0.0098234115836806,-0.0991552450085421,0.1109675291930234,0.013327264171256,0.2101227742015656,15.76638472093575,DEFER,DEFER,2.406692065956116,2.762404176139824,999,999,365.0,0.1077420547100721,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,52,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0006547880904635,0.0060177746250488,-0.1049396084281063,0.1103025949626916,0.0066725627155124,0.215242203390798,32.25780147264886,-0.0035593160891991,0.0108795463045436,-0.1498570067796112,0.1602192673494279,-0.0042213355092135,0.0119876737761682,-0.168246898646835,0.1806559409158738,0.0162090092853818,0.3489028395627088,21.52524151351852,DEFER,DEFER,2.406692065956116,2.762404176139824,999,999,365.0,0.1077420547100721,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,62,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0001872541551748,0.0001872541551748,0.0001872541551748,0.0001872541551748,0.0,0.0,inf,-0.0055915761044151,0.0059660844147648,-0.0055915761044151,0.0059660844147648,-0.0065880582714957,0.0069625665818454,-0.0074744694674392,0.0078489777777889,0.0135506248533412,0.0153234472452282,1.1308295677191438,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,62,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.000734229174384,0.0011664405307352,-0.0139414290188459,0.014373640375197,0.0019006697051192,0.0283150693940429,14.897417114493432,-0.0061534988904141,0.0073325964553413,-0.0187821253233243,0.0273039406251493,-0.0070879796396389,0.0083958677649826,-0.0203593502174095,0.0315169691151524,0.0154838474046215,0.051876319332562,3.3503507220743,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,62,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0015993155397012,0.002204325019631,-0.0280657411962492,0.028670750676179,0.0038036405593323,0.0567364918724282,14.91636525255342,-0.0066893407094726,0.0087827765192128,-0.0397497981236952,0.0492940463362365,-0.0075670476300473,0.0099171426991953,-0.0435567680905627,0.0560136530347661,0.0174841903292427,0.0995704211253288,5.694883163036437,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,62,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0024095803691711,0.0033015509289553,-0.0422384759979855,0.0431304465577696,0.0057111312981265,0.0853689225557552,14.947812981249434,-0.0072029060526616,0.0103142797130481,-0.0615144712479069,0.07155433533429,-0.0080294511059069,0.0115235312158631,-0.0677950923929095,0.0808155783756185,0.01955298232177,0.148610670768528,7.600409406756663,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,62,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0038730437842055,0.0056746099338715,-0.0709325973165795,0.0727341634662456,0.0095476537180771,0.1436667607828252,15.047336761995478,-0.0081772503857335,0.013609095810166,-0.1055914939600595,0.1168305066837436,-0.0089194533799703,0.0149772920238478,-0.1168842649064721,0.1311982434484764,0.0238967454038181,0.2480825083549485,10.381434967931268,DEFER,DEFER,2.297933620431923,2.5985712826403167,999,999,365.0,0.1906270744056107,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,72,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.006278155962718,-0.006278155962718,-0.006278155962718,-0.006278155962718,0.0,0.0,inf,-0.016559883963749,0.0040035720383128,-0.016559883963749,0.0040035720383128,-0.0179020698042253,0.0053457578787891,-0.0193158479645837,0.0067595360391475,0.0232478276830145,0.0260753840037313,1.1216266895673286,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.1690915825251052,False
NSCLC-Stanford-tau365,PET_radiomic_candidate_SRDO,72,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0069688538633135,-0.0055468692940451,-0.0203180806312913,0.0078023574739326,0.0014219845692683,0.028120438105224,19.77548752142435,-0.0172605024712783,0.0047421325960082,-0.0315607999989435,0.0234136116877183,-0.0186039833565325,0.0060852679763722,-0.0345743527641624,0.0275981276189662,0.0246892513329048,0.0621724803831287,2.518200310929147,DEFER,DEFER,2.2158194115295067,2.485322191232867,999,999,365.0,0.1690915825251052,False
