scenario,method,gamma,class_contains_true,reps,truth,point_coverage,point_width,ci_coverage,ci_width,retain,reference,defer,mean_regret,observed_censoring,n_target,run_kind,ci_coverage_wilson_low,ci_coverage_wilson_high,retain_wilson_low,retain_wilson_high,reference_wilson_low,reference_wilson_high,defer_wilson_low,defer_wilson_high
low_overlap,transport_assume,0.5,False,1000,0.0464489920114544,0.0,0.0,0.873,0.1556612850832894,0.003,0.326,0.671,0.0021523469760343,0.7028333333333334,60,comparator,0.8509252474282143,0.8922199907415616,0.0010207838811386186,0.008783014053503173,0.29766113143613737,0.35567058051683587,0.6412729638759754,0.6994182847219649
low_overlap,proposed_direct,0.1,False,1000,0.0464489920114544,0.099,0.0089939831431789,0.879,0.1784887111419485,0.002,0.251,0.747,0.0023338979840229,0.7041491228070176,80,comparator,0.8573230993571588,0.8977762177107904,0.000548643588120728,0.007262807863492177,0.22511381079019804,0.27879191493560834,0.7191453808937036,0.7729642004144321
low_overlap,proposed_direct,0.2,True,1000,0.0464489920114544,0.179,0.0179580672031338,0.891,0.1872939700628509,0.001,0.223,0.776,0.0023744489920114,0.7041491228070176,80,comparator,0.8701675082488096,0.9088399666154863,0.00017654637062607809,0.0056425585979579355,0.19828813022889644,0.24983189397210112,0.7491310659769607,0.8007565633390129
low_overlap,proposed_direct,0.3,True,1000,0.0464489920114544,0.282,0.0268627580762116,0.904,0.1959351679417285,0.0,0.193,0.807,0.002421,0.7041491228070176,80,comparator,0.8841648792420682,0.9207430999016033,2.168404344971009e-19,0.0038267584855551234,0.16973301355427384,0.21861661615585704,0.781383383844143,0.8302669864457263
low_overlap,proposed_direct,0.5,True,1000,0.0464489920114544,0.424,0.0443803485306955,0.922,0.2126196392101486,0.0,0.155,0.845,0.002535,0.7041491228070176,80,comparator,0.9037173834289277,0.9370528324092638,2.168404344971009e-19,0.0038267584855551234,0.13389362461519208,0.17874683873984096,0.821253161260159,0.866106375384808
low_overlap,scalar_tilt,0.1,False,1000,0.0464489920114544,0.097,0.0087943668313095,0.879,0.1781417720753309,0.002,0.253,0.745,0.0023278979840229,0.7041491228070176,80,comparator,0.8573230993571588,0.8977762177107904,0.000548643588120728,0.007262807863492177,0.22703579958556788,0.28085461910629633,0.7170834253930005,0.7710414629490774
low_overlap,scalar_tilt,0.2,False,1000,0.0464489920114544,0.177,0.0175595977850869,0.891,0.1867482614752091,0.001,0.224,0.775,0.0023714489920114,0.7041491228070176,80,comparator,0.8701675082488096,0.9088399666154863,0.00017654637062607809,0.0056425585979579355,0.1992434366609871,0.2508689340230394,0.7480942379750103,0.7998010448579344
low_overlap,scalar_tilt,0.3,False,1000,0.0464489920114544,0.277,0.0262669509040339,0.903,0.1951922947437891,0.0,0.195,0.805,0.002415,0.7041491228070176,80,comparator,0.8830847944509657,0.9198308382096769,2.168404344971009e-19,0.0038267584855551234,0.17163009389189862,0.22070422878429005,0.77929577121571,0.8283699061081016
low_overlap,scalar_tilt,0.5,False,1000,0.0464489920114544,0.415,0.0433973014323668,0.921,0.2114903565313411,0.0,0.159,0.841,0.002523,0.7041491228070176,80,comparator,0.9026250851159918,0.9361527842391708,2.168404344971009e-19,0.0038267584855551234,0.1376463027469242,0.18296354654022445,0.8170364534597756,0.8623536972530759
low_overlap,separate_risk,0.1,False,1000,0.0464489920114544,0.34,0.0325795459931102,0.925,0.2400653736032516,0.0,0.154,0.846,0.002538,0.7041491228070176,80,comparator,0.9069990602607456,0.9397481950265327,2.168404344971009e-19,0.0038267584855551234,0.13295625717450094,0.17769185969750323,0.8223081403024968,0.8670437428254991
