dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
Rotterdam-GBSG,supporting_clinical_candidate,52,0.0,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0202050571563915,-0.0202050571563915,-0.0202050571563915,-0.0202050571563915,0.0,0.0,inf,-0.0332859043607533,-0.0071242099520298,-0.0332859043607533,-0.0071242099520298,-0.0351506884700367,-0.0052594258427463,-0.0358624554558753,-0.0045476588569078,0.0298912626272903,0.0313147965989674,1.047623748432005,ADOPT,ADOPT,2.239373233500583,2.34602058101818,999,999
Rotterdam-GBSG,supporting_clinical_candidate,52,0.1,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0258267640113446,-0.0144155134690155,-0.0305927869057186,-0.0096494905746416,0.0114112505423291,0.020943296331077,1.8353199987494369,-0.0385177101799009,-0.0009761034308821,-0.0430173704866184,0.0040829098096898,-0.040326910637422,0.0009397968075136,-0.0454646565019406,0.0067877981625715,0.0412667074449356,0.0522524546645122,1.2662133206104558,DEFER,DEFER,2.239373233500583,2.34602058101818,999,999
Rotterdam-GBSG,supporting_clinical_candidate,52,0.2,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0312639427663535,-0.0084772622237964,-0.0407855744295037,0.0010443694393537,0.0227866805425571,0.0418299438688575,1.8357190636316991,-0.0435396814598885,0.0052836458776264,-0.0525613799666788,0.0154116568724073,-0.0452896906212054,0.007245378352285,-0.0548808753463538,0.0182415997339999,0.0525350689734905,0.0731224750803537,1.391879300991338,DEFER,DEFER,2.239373233500583,2.34602058101818,999,999
Rotterdam-GBSG,supporting_clinical_candidate,52,0.3,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0365024567122114,-0.002411687041231,-0.0507588651909743,0.0118447214375318,0.0340907696709804,0.0626035866285061,1.8363793845874083,-0.0483438683591538,0.011628385108614,-0.0619054766763915,0.0268188091224621,-0.0500319605695222,0.0136299147518541,-0.0641010389042015,0.0297682742007022,0.0636618753213764,0.0938693131049037,1.4744980827384493,DEFER,DEFER,2.239373233500583,2.34602058101818,999,999
Rotterdam-GBSG,supporting_clinical_candidate,52,0.5,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0463399615498911,0.0100061890224299,-0.069961753344179,0.0336279808167177,0.056346150572321,0.1035897341608967,1.8384527267384123,-0.0572800358875387,0.024459676967632,-0.0799542278429379,0.0496899286605798,-0.0588396349303608,0.0265201424881638,-0.0819224582419728,0.0528536709366226,0.0853597774185247,0.1347761291785955,1.5789184702038186,DEFER,DEFER,2.239373233500583,2.34602058101818,999,999
Rotterdam-GBSG,supporting_clinical_candidate,72,0.0,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0174523253317596,-0.0174523253317596,-0.0174523253317596,-0.0174523253317596,0.0,0.0,inf,-0.0313715386599279,-0.0035331120035913,-0.0313715386599279,-0.0035331120035913,-0.0328748899355575,-0.0020297607279617,-0.0335863409192105,-0.0013183097443087,0.0308451292075957,0.0322680311749018,1.0461305238091094,ADOPT,ADOPT,2.171650829685493,2.2718302199893703,999,999
Rotterdam-GBSG,supporting_clinical_candidate,72,0.1,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0231780042418602,-0.0115613855187516,-0.0288617097640869,-0.0058776799965249,0.0116166187231085,0.022984029767562,1.978547313586237,-0.0366905612190598,0.0027311791235164,-0.0420221692361935,0.0087943963633568,-0.0381499913815087,0.0042748543859314,-0.0441162398337776,0.0111289929460868,0.0424248457674402,0.0552452327798645,1.3021905390699973,DEFER,DEFER,2.171650829685493,2.2718302199893703,999,999
Rotterdam-GBSG,supporting_clinical_candidate,72,0.2,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0287207990387559,-0.005525258628092,-0.0400736446903148,0.0058275870234669,0.0231955404106638,0.0459012317137818,1.978881754903163,-0.0417997852062574,0.0091012704078331,-0.052483680367934,0.021232731502637,-0.0432123873465712,0.0106810156539019,-0.0544583447694735,0.0236839726750094,0.0538934030004732,0.078142317444483,1.4499421653480842,DEFER,DEFER,2.171650829685493,2.2718302199893703,999,999
Rotterdam-GBSG,supporting_clinical_candidate,72,0.3,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0340656733764189,0.0006337363787829,-0.0510585721240558,0.0176266351264198,0.0346994097552019,0.0686852072504756,1.979434455370781,-0.0466907128225152,0.0155492331262418,-0.0627406706371132,0.0337318001205564,-0.0480542862306296,0.017160188467846,-0.0645995068780609,0.0362944274022971,0.0652144746984756,0.100893934280358,1.5471095143654716,DEFER,DEFER,2.171650829685493,2.2718302199893703,999,999
Rotterdam-GBSG,supporting_clinical_candidate,72,0.5,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0441147938413149,0.013221528634683,-0.0722429698234239,0.041349704616792,0.0573363224759979,0.1135926744402159,1.9811642870497672,-0.0557968026587941,0.0285608410257794,-0.0825902258128955,0.0587077734775865,-0.0570585235939947,0.0302175707781547,-0.0842366641138647,0.0614697607554069,0.0872760943721494,0.1457064248692716,1.6694883738492288,DEFER,DEFER,2.171650829685493,2.2718302199893703,999,999
